Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YearlyAverage,MinimumMonthly,MaximumMonthly,Range
1964,183.21,183.15,183.09,183.09,183.30,183.41,183.48,183.51,183.54,183.51,183.45,183.36,183.34,183.09,183.54,0.45
1965,183.28,183.21,183.16,183.18,183.31,183.38,183.41,183.44,183.43,183.45,183.41,183.39,183.34,183.16,183.45,0.29
1966,183.33,183.27,183.26,183.28,183.36,183.47,183.49,183.54,183.52,183.47,183.42,183.37,183.40,183.26,183.54,0.28
1967,183.31,183.26,183.21,183.29,183.39,183.45,183.50,183.53,183.49,183.44,183.41,183.34,183.38,183.21,183.53,0.32
1968,183.26,183.19,183.14,183.23,183.33,183.49,183.63,183.72,183.79,183.78,183.71,183.61,183.49,183.14,183.79,0.65
1969,183.56,183.53,183.46,183.46,183.55,183.57,183.58,183.59,183.54,183.50,183.44,183.35,183.51,183.35,183.59,0.24
1970,183.30,183.24,183.19,183.18,183.36,183.50,183.59,183.61,183.60,183.59,183.65,183.60,183.45,183.18,183.65,0.47
1971,183.51,183.45,183.44,183.47,183.56,183.66,183.70,183.70,183.67,183.65,183.62,183.56,183.58,183.44,183.70,0.26
1972,183.48,183.42,183.42,183.43,183.55,183.58,183.60,183.68,183.71,183.68,183.60,183.49,183.55,183.42,183.71,0.29
1973,183.43,183.36,183.38,183.43,183.58,183.67,183.73,183.80,183.80,183.74,183.65,183.58,183.60,183.36,183.80,0.44
1974,183.50,183.44,183.39,183.40,183.52,183.63,183.72,183.77,183.79,183.77,183.76,183.69,183.62,183.39,183.79,0.40
1975,183.62,183.57,183.51,183.46,183.55,183.62,183.69,183.68,183.66,183.60,183.59,183.58,183.59,183.46,183.69,0.23
1976,183.49,183.42,183.40,183.49,183.57,183.59,183.63,183.62,183.55,183.46,183.35,183.24,183.48,183.24,183.63,0.39
1977,183.16,183.10,183.13,183.20,183.27,183.31,183.40,183.44,183.58,183.65,183.62,183.54,183.37,183.10,183.65,0.55
1978,183.48,183.36,183.31,183.30,183.35,183.44,183.52,183.57,183.61,183.55,183.43,183.34,183.44,183.30,183.61,0.31
1979,183.25,183.21,183.24,183.31,183.50,183.65,183.68,183.68,183.67,183.61,183.60,183.53,183.49,183.21,183.68,0.47
1980,183.47,183.40,183.33,183.35,183.39,183.43,183.46,183.49,183.55,183.53,183.46,183.37,183.44,183.33,183.55,0.22
1981,183.27,183.22,183.22,183.32,183.40,183.47,183.51,183.49,183.41,183.38,183.35,183.28,183.36,183.22,183.51,0.29
1982,183.23,183.16,183.13,183.19,183.35,183.41,183.50,183.57,183.58,183.65,183.67,183.61,183.42,183.13,183.67,0.54
1983,183.56,183.49,183.47,183.48,183.51,183.59,183.64,183.63,183.61,183.64,183.61,183.58,183.57,183.47,183.64,0.17
1984,183.49,183.44,183.40,183.39,183.49,183.59,183.65,183.66,183.63,183.61,183.58,183.55,183.54,183.39,183.66,0.27
1985,183.48,183.42,183.41,183.45,183.58,183.66,183.74,183.81,183.86,183.91,183.89,183.81,183.67,183.41,183.91,0.50
